City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Biltine,TD,2021-10-04 02:37:16,14.5333,20.9167,83.44,27,83,9.84
98,Kapaa,US,2021-10-04 02:33:03,22.0752,-159.319,79.2,76,90,1.99
99,Prince Rupert,CA,2021-10-04 02:37:02,54.3161,-130.3201,47.89,70,90,9.22
100,Belaya Gora,RU,2021-10-04 02:37:17,68.5333,146.4167,30.11,67,83,10.69
101,Nikolskoye,RU,2021-10-04 02:37:17,59.7035,30.7861,43.88,95,0,7.05
102,Rawson,AR,2021-10-04 02:37:18,-43.3002,-65.1023,55.24,39,12,20.38
103,Provideniya,RU,2021-10-04 02:37:18,64.3833,-173.3,35.71,75,75,13.42
104,Coihaique,CL,2021-10-04 02:37:18,-45.5752,-72.0662,44.55,70,40,5.75
105,Aanekoski,FI,2021-10-04 02:37:19,62.6946,25.818,50.07,100,100,13.2
106,Bogorodskoye,RU,2021-10-04 02:37:19,56.55,37.8833,37.42,92,81,4.83
107,Pacific Grove,US,2021-10-04 02:37:20,36.6177,-121.9166,78.76,64,1,1.01
108,Alofi,NU,2021-10-04 02:37:20,-19.0595,-169.9187,78.69,78,77,16.11
109,Broken Hill,AU,2021-10-04 02:37:20,-31.95,141.4333,65.91,27,40,25.32
110,Saint-Remi,CA,2021-10-04 02:37:21,45.2668,-73.6159,57.25,85,36,2.3
111,San-Pedro,CI,2021-10-04 02:37:21,4.7485,-6.6363,75.79,93,52,0.13
112,Urumqi,CN,2021-10-04 02:37:21,43.801,87.6005,41.95,61,0,4.47
113,Airai,TL,2021-10-04 02:37:22,-8.9266,125.4092,81.77,29,36,2.73
114,Miastko,PL,2021-10-04 02:37:22,54.0028,16.9826,51.53,75,100,6.49
115,Aguimes,ES,2021-10-04 02:37:23,27.9054,-15.4461,70.43,70,40,19.57
116,Dikson,RU,2021-10-04 02:37:23,73.5069,80.5464,35.6,98,100,21.7
117,Mataura,NZ,2021-10-04 02:37:23,-46.1927,168.8643,52.48,78,100,11.9
118,Sychevka,RU,2021-10-04 02:37:24,55.8252,34.2736,40.39,89,96,5.14
119,Verkhoyansk,RU,2021-10-04 02:37:24,67.5447,133.385,30.45,61,24,0.47
120,Opunake,NZ,2021-10-04 02:37:25,-39.4556,173.8583,65.34,84,80,11.1
121,Mayo,US,2021-10-04 02:37:25,38.8876,-76.5119,76.24,85,75,1.99
122,Kodiak,US,2021-10-04 02:37:25,57.79,-152.4072,40.69,60,0,8.59
123,Bonavista,CA,2021-10-04 02:37:26,48.6499,-53.1147,53.11,87,100,10.6
124,Sao Jose Da Coroa Grande,BR,2021-10-04 02:37:26,-8.8978,-35.1478,75.67,82,21,11.12
125,Dir,PK,2021-10-04 02:37:26,35.2058,71.8756,68.05,57,0,1.54
126,Tual,ID,2021-10-04 02:37:27,-5.6667,132.75,81.19,66,32,7.72
127,Xiuyan,CN,2021-10-04 02:37:27,40.2928,123.2744,62.4,64,100,14.47
128,Barrow,US,2021-10-04 02:34:08,71.2906,-156.7887,28.42,86,90,6.91
129,Otane,NZ,2021-10-04 02:37:28,-39.8833,176.6333,64.38,89,100,2.75
130,Upernavik,GL,2021-10-04 02:37:28,72.7868,-56.1549,30.18,85,95,4.21
131,Cabedelo,BR,2021-10-04 02:37:28,-6.9811,-34.8339,77.67,81,34,14.47
132,Qaanaaq,GL,2021-10-04 02:37:29,77.484,-69.3632,26.01,94,98,6.04
133,Rochegda,RU,2021-10-04 02:37:29,62.8,43.25,38.17,93,86,3.71
134,Magalia,US,2021-10-04 02:37:29,39.8121,-121.5783,74.95,31,4,1.01
135,Cidreira,BR,2021-10-04 02:37:30,-30.1811,-50.2056,61.56,83,99,12.5
136,Severnyy,RU,2021-10-04 02:37:30,50.677,36.5532,42.26,81,24,5.37
137,Oranjestad,AW,2021-10-04 02:37:30,12.524,-70.027,84.15,74,20,21.85
138,Natal,BR,2021-10-04 02:32:36,-5.795,-35.2094,77.22,83,20,4.61
139,Santa Rosa,PH,2021-10-04 02:37:31,14.3122,121.1114,85.08,72,100,11.07
140,Praia,CV,2021-10-04 02:37:31,14.9215,-23.5087,81.14,83,40,9.22
141,Port Elizabeth,ZA,2021-10-04 02:37:32,-33.918,25.5701,52.09,76,0,9.22
142,Hovd,MN,2021-10-04 02:37:32,48.0056,91.6419,36.64,27,8,1.43
143,Presidencia Roque Saenz Pena,AR,2021-10-04 02:37:32,-26.7852,-60.4388,59.76,36,100,6.4
144,Garissa,KE,2021-10-04 02:37:33,-0.4536,39.6401,73.33,84,72,12.06
145,Meulaboh,ID,2021-10-04 02:37:33,4.1363,96.1285,82.11,68,98,2.17
146,Ocos,GT,2021-10-04 02:37:33,14.5094,-92.1933,81.0,74,33,1.16
147,Tasiilaq,GL,2021-10-04 02:37:34,65.6145,-37.6368,32.16,58,32,4.7
148,Buraydah,SA,2021-10-04 02:37:34,26.326,43.975,72.05,16,8,4.45
149,Hami,CN,2021-10-04 02:37:34,42.8,93.45,52.11,27,0,1.21
150,Kruisfontein,ZA,2021-10-04 02:37:35,-34.0033,24.7314,44.89,79,5,5.97
151,Sao Filipe,CV,2021-10-04 02:37:35,14.8961,-24.4956,79.84,80,15,4.09
152,Hermanus,ZA,2021-10-04 02:37:36,-34.4187,19.2345,51.91,79,14,9.46
153,North Bend,US,2021-10-04 02:37:36,43.4065,-124.2243,58.91,91,1,16.11
154,Mar Del Plata,AR,2021-10-04 02:37:36,-38.0023,-57.5575,46.13,69,0,8.01
155,Todos Santos,MX,2021-10-04 02:37:37,23.45,-110.2167,82.65,75,86,1.19
156,Port-Cartier,CA,2021-10-04 02:37:37,50.0334,-66.8654,41.22,82,39,6.82
157,Hue,VN,2021-10-04 02:37:37,16.4667,107.6,87.91,62,20,2.3
158,Vestmannaeyjar,IS,2021-10-04 02:37:38,63.4427,-20.2734,46.18,76,48,19.51
159,Itarema,BR,2021-10-04 02:37:38,-2.9248,-39.9167,79.11,84,10,16.6
160,Torbay,CA,2021-10-04 02:37:38,47.6666,-52.7314,52.68,94,75,6.91
161,Adrar,MR,2021-10-04 02:37:39,20.5022,-10.0711,86.61,9,12,9.19
162,Lewisville,US,2021-10-04 02:33:00,33.0462,-96.9942,76.62,66,62,4.72
163,Chumikan,RU,2021-10-04 02:37:39,54.7183,135.315,46.11,35,4,11.34
164,Lumphat,KH,2021-10-04 02:37:40,13.4878,106.9816,85.24,71,100,1.36
165,Magaria,NE,2021-10-04 02:37:40,12.9983,8.9099,81.95,32,0,4.41
166,Ilulissat,GL,2021-10-04 02:37:40,69.2167,-51.1,28.42,64,40,2.3
167,Komsomolskiy,UZ,2021-10-04 02:37:41,40.4272,71.7189,54.32,50,98,6.91
168,Oktyabrskiy,RU,2021-10-04 02:37:41,54.4815,53.471,34.86,84,35,5.57
169,Prescott,US,2021-10-04 02:37:42,34.54,-112.4685,68.16,45,40,1.01
170,Dingle,PH,2021-10-04 02:37:42,10.9995,122.6711,76.19,95,100,6.15
171,Kaitangata,NZ,2021-10-04 02:37:42,-46.2817,169.8464,50.94,79,100,16.6
172,Puerto Del Rosario,ES,2021-10-04 02:37:43,28.5004,-13.8627,73.08,78,17,9.22
173,Prainha,BR,2021-10-04 02:37:43,-1.8,-53.48,74.88,89,22,3.11
174,Hibbing,US,2021-10-04 02:37:43,47.4272,-92.9377,53.58,100,90,0.0
175,Benguela,AO,2021-10-04 02:37:44,-12.5763,13.4055,69.94,83,64,1.79
