City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Nemuro,JP,43.3236,145.575,72.03,85,100,15.41,overcast clouds
138,Puerto Boyaca,CO,5.9758,-74.5885,74.05,99,100,1.68,moderate rain
139,Hithadhoo,MV,-0.6,73.0833,83.7,75,55,16.49,broken clouds
140,Broken Hill,AU,-31.95,141.4333,69.51,24,5,25.32,clear sky
141,Chokurdakh,RU,70.6333,147.9167,26.15,96,100,8.55,light snow
142,Buala,SB,-8.145,159.5921,83.23,75,81,3.58,light rain
143,Caravelas,BR,-17.7125,-39.2481,75.15,85,23,12.21,few clouds
144,Nanortalik,GL,60.1432,-45.2371,37.98,85,1,2.75,clear sky
145,Sao Filipe,CV,14.8961,-24.4956,79.68,80,17,2.73,few clouds
146,Okha,RU,53.5739,142.9478,46.04,78,95,14.38,light rain
147,Isangel,VU,-19.55,169.2667,84.31,79,75,4.61,broken clouds
148,Dukat,RU,62.55,155.55,21.36,86,100,11.48,light snow
149,Vardo,NO,70.3705,31.1107,47.95,81,100,25.28,overcast clouds
150,Barrow,US,71.2906,-156.7887,28.42,86,75,9.22,broken clouds
151,Cabo San Lucas,MX,22.8909,-109.9124,83.52,78,89,4.72,overcast clouds
152,Luderitz,NA,-26.6481,15.1594,58.64,48,57,11.95,broken clouds
153,Pitimbu,BR,-7.4706,-34.8086,75.79,77,17,12.33,few clouds
154,Bredasdorp,ZA,-34.5322,20.0403,45.72,87,63,2.3,broken clouds
155,Brazzaville,CG,-4.2658,15.2832,77.31,83,20,3.44,light rain
156,Palmer,US,42.1584,-72.3287,63.43,85,90,6.91,mist
157,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.08,93,99,11.97,overcast clouds
158,Bonavista,CA,48.6499,-53.1147,52.12,88,100,11.32,overcast clouds
159,Damnagar,IN,21.7,71.5167,85.66,63,31,6.08,scattered clouds
160,Rundu,NA,-17.9333,19.7667,62.92,19,44,5.88,scattered clouds
161,Araouane,ML,18.9048,-3.5265,88.54,16,21,4.34,few clouds
162,Komsomolskiy,UZ,40.4272,71.7189,58.42,50,75,4.61,broken clouds
163,Hanzhong,CN,33.0728,107.0303,62.19,76,100,4.43,light rain
164,Mount Isa,AU,-20.7333,139.5,92.97,12,7,14.97,clear sky
165,Deep River,CA,46.1001,-77.4995,55.15,95,100,3.02,overcast clouds
166,Sokolka,PL,53.4072,23.5023,44.04,74,74,10.51,broken clouds
167,Dunedin,NZ,-45.8742,170.5036,48.79,97,100,15.99,overcast clouds
168,Bubaque,GW,11.2833,-15.8333,81.77,75,92,4.81,overcast clouds
169,East London,ZA,-33.0153,27.9116,54.54,87,20,3.44,light rain
170,Tura,IN,25.5198,90.2201,80.62,85,24,3.96,few clouds
171,Cumberland,US,35.0502,-78.8664,71.78,79,1,4.61,clear sky
172,Ippy,CF,6.2679,21.2247,68.4,98,99,3.58,light rain
173,Qaanaaq,GL,77.484,-69.3632,25.36,92,98,6.51,overcast clouds
174,Vila,PT,42.0304,-8.1588,46.33,94,100,3.6,overcast clouds
175,Taoudenni,ML,22.6783,-3.9836,88.36,12,43,7.14,scattered clouds
176,Upernavik,GL,72.7868,-56.1549,29.82,86,92,3.65,overcast clouds
177,Kruisfontein,ZA,-34.0033,24.7314,49.35,70,10,5.86,clear sky
178,Den Helder,NL,52.9599,4.7593,58.98,80,90,15.01,overcast clouds
179,Slawno,PL,54.3628,16.6789,58.44,67,100,6.49,overcast clouds
180,Milyutinskaya,RU,48.6279,41.6679,43.36,69,81,11.43,broken clouds
181,Upata,VE,8.0086,-62.3989,74.19,96,89,5.06,overcast clouds
182,Manta,EC,-0.95,-80.7333,69.58,88,75,14.97,broken clouds
183,Avarua,CK,-21.2078,-159.775,75.25,69,75,4.61,broken clouds
184,Provideniya,RU,64.3833,-173.3,33.91,69,90,11.18,overcast clouds
185,Kampong Thum,KH,12.7111,104.8887,88.45,62,15,4.68,few clouds
186,Victoria,HK,22.2855,114.1577,92.97,79,28,1.01,scattered clouds
187,Mount Gambier,AU,-37.8333,140.7667,51.71,87,90,24.16,overcast clouds
188,Airai,TL,-8.9266,125.4092,79.16,40,53,3.06,broken clouds
189,Yar-Sale,RU,66.8333,70.8333,34.3,69,100,14.25,overcast clouds
190,Christchurch,NZ,-43.5333,172.6333,53.91,89,75,7.0,broken clouds
191,Norman Wells,CA,65.282,-126.8329,33.84,93,90,23.02,light snow
192,Sakakah,SA,29.9697,40.2064,71.17,37,0,9.42,clear sky
193,Strezhevoy,RU,60.7333,77.5889,33.78,70,18,6.69,few clouds
194,Tatawin,TN,32.9297,10.4518,70.68,46,10,6.76,clear sky
195,San Quintin,MX,30.4833,-115.95,72.64,65,100,5.19,overcast clouds
196,Kaitangata,NZ,-46.2817,169.8464,50.94,80,100,17.65,overcast clouds
197,Pontal Do Parana,BR,-25.6533,-48.5128,76.41,96,100,5.82,light rain
198,Nome,US,64.5011,-165.4064,31.15,79,7,2.82,clear sky
199,Saint-Pierre,RE,-21.3393,55.4781,76.68,69,0,5.75,clear sky
200,Yellowknife,CA,62.456,-114.3525,42.42,68,20,4.61,few clouds
201,Kindu,CD,-2.95,25.95,69.84,90,100,0.38,overcast clouds
202,Bambous Virieux,MU,-20.3428,57.7575,75.22,88,40,3.44,light rain
